title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
The Water Diviner,movie,"Drama, History, War",2014.0,tt3007512,7.0,78915.0,JP
Danny Collins,movie,"Comedy, Drama, Music",2015.0,tt1772288,7.0,33824.0,JP
Violent Panic: The Big Crash,movie,"Action, Crime",1976.0,tt0325140,7.1,179.0,JP
Train Brain Express,movie,Drama,2011.0,tt1728599,6.1,138.0,JP
Love Under the Crucifix,movie,Drama,1962.0,tt0203751,6.7,300.0,JP
Kiba: Ankoku kishi gaiden,movie,"Action, Drama, Fantasy",2011.0,tt2075230,7.0,58.0,JP
The Intern,movie,"Comedy, Drama",2015.0,tt2361509,7.1,285485.0,JP
Someday,movie,Drama,2011.0,tt1753965,6.9,84.0,JP
Thread of Lies,movie,"Drama, Mystery, Thriller",2014.0,tt3837154,7.1,890.0,JP
Jinsei gekijô: Hishakaku,movie,Crime,1963.0,tt0057199,7.6,66.0,JP
Tamako Love Story,movie,"Animation, Comedy, Drama",2014.0,tt3413018,7.0,3054.0,JP
Tulip Fever,movie,"Drama, History, Romance",2017.0,tt0491203,6.2,23443.0,JP
Happy Face Killer,movie,"Crime, Drama, Thriller",2014.0,tt3320114,5.3,1153.0,US
Tora-san's Lovesick,movie,Comedy,1974.0,tt0071954,6.7,122.0,JP
The Loyal 47 Ronin,movie,Drama,1958.0,tt0198371,7.3,351.0,JP
Man in Love,movie,"Drama, Romance",2014.0,tt3479250,6.9,1171.0,JP
Paris Follies,movie,Comedy,2014.0,tt3104572,6.4,1048.0,JP
Carol,movie,"Drama, Romance",2015.0,tt2402927,7.2,145351.0,JP
Tiger & Bunny: The Rising,movie,"Action, Adventure, Animation",2014.0,tt3204012,6.7,423.0,JP
Monster,movie,"Action, Drama, Thriller",2014.0,tt3589450,6.4,1794.0,JP
Gekijouban Tenisu no oujisama: Eikokushiki teikyujou kessen!,movie,"Animation, Sport",2011.0,tt1920939,6.8,53.0,JP
Fantastic Beasts and Where to Find Them,movie,"Adventure, Family, Fantasy",2016.0,tt3183660,7.2,517167.0,JP
Tom Segura: Completely Normal,movie,Comedy,2014.0,tt3500822,7.7,3171.0,US
A Liar and a Broken Girl,movie,"Drama, Romance",2010.0,tt1661309,5.2,488.0,JP
Wild Detective,movie,"Action, Crime, Drama",1976.0,tt2023831,6.4,56.0,JP
Life Partners,movie,"Comedy, Drama, Romance",2014.0,tt2870808,6.2,9338.0,US
Lupin the Third: The Gravestone of Daisuke Jigen,movie,"Action, Animation, Crime",2014.0,tt3830998,7.2,1067.0,JP
Tora-san's Lullaby,movie,Comedy,1974.0,tt0071955,6.3,105.0,JP
American Ultra,movie,"Action, Comedy",2015.0,tt3316948,6.1,97277.0,JP
8000 Miles 2: Girl Rappers,movie,"Comedy, Drama, Music",2010.0,tt1603370,5.9,68.0,JP
SR: Saitama no rappâ - Rôdosaido no toubousha,movie,"Comedy, Drama, Music",2012.0,tt1739224,3.7,519.0,JP
Where Spring Comes Late,movie,Drama,1970.0,tt0067296,7.6,298.0,JP
Tora-san's Rise and Fall,movie,Comedy,1975.0,tt0073498,7.0,137.0,JP
Babysitting,movie,Comedy,2014.0,tt3013602,6.7,12443.0,JP
Hunting Rifle,movie,Drama,1961.0,tt0055389,6.6,56.0,JP
Shinjuku Swan,movie,"Action, Crime, Drama",2015.0,tt3148576,6.0,1286.0,JP
Ani to sono imôto,movie,Drama,1939.0,tt0272450,6.9,87.0,JP
Game of Seduction,movie,Drama,1976.0,tt0075369,5.1,197.0,JP
Hope and Pain,movie,Drama,1988.0,tt0123789,6.6,65.0,JP
Knock Knock,movie,"Crime, Thriller",2015.0,tt3605418,4.9,108058.0,JP
Yaju-deka,movie,"Action, Drama",1982.0,tt0135062,6.9,34.0,JP
Tokumei Sentai Go-Busters: The Movie - Protect the Tokyo Enetower!,movie,"Action, Adventure, Sci-Fi",2012.0,tt2194402,5.9,44.0,JP
Broken,movie,"Action, Crime, Drama",2014.0,tt3554976,6.7,1536.0,JP
18 Who Cause a Storm,movie,"Action, Crime, Drama",1963.0,tt0056836,6.7,159.0,JP
The Incident,movie,"Horror, Sci-Fi, Thriller",2014.0,tt3528756,6.3,4608.0,JP
The Obscure Spring,movie,Drama,2014.0,tt2360310,6.1,921.0,JP
"Zyuden Sentai Kyoryuger vs. Go-Busters: Dinosaur Great Battle! Farewell, Eternal Friends",movie,"Action, Adventure, Sci-Fi",2014.0,tt3295046,7.6,85.0,JP
Alter Ego,movie,Horror,2002.0,tt0419979,4.7,122.0,JP
Documentary of AKB48: No Flower Without Rain,movie,"Documentary, Music",2013.0,tt2476448,7.6,107.0,JP
Room,movie,"Drama, Thriller",2015.0,tt3170832,8.1,460745.0,JP
Shiosai,movie,"Drama, Romance",1975.0,tt0348003,5.9,65.0,JP
Homeland,movie,Drama,2014.0,tt2994962,6.8,112.0,JP
Magic Mike XXL,movie,"Comedy, Drama, Music",2015.0,tt2268016,5.6,62170.0,JP
Mommy,movie,Drama,2014.0,tt3612616,8.0,63129.0,JP
Wild Card,movie,"Action, Crime, Drama",2015.0,tt2231253,5.6,61321.0,JP
Les formidables,movie,"Action, Crime, Drama",2006.0,tt0826099,6.0,256.0,JP
No Tears for the Dead,movie,"Action, Crime, Drama",2014.0,tt3697566,6.7,7382.0,JP
Kamen Rider Wizard in Magic Land,movie,"Action, Adventure, Fantasy",2013.0,tt2952076,7.0,94.0,JP
A Girl at My Door,movie,Drama,2014.0,tt3661798,6.9,3282.0,JP
Kamen Rider V3 vs. Destron Mutants,movie,"Action, Adventure, Drama",1973.0,tt0156676,5.4,96.0,JP
Pet Peeve,movie,Horror,2013.0,tt2821784,5.4,218.0,JP
Ask This of Rikyu,movie,"Biography, Drama, History",2013.0,tt2500392,6.7,221.0,JP
Kikaider: The Ultimate Human Robot,movie,Action,2014.0,tt3502284,5.5,158.0,JP
Arcana,movie,"Horror, Thriller",2013.0,tt2824006,5.1,121.0,JP
The Target,movie,"Action, Thriller",2014.0,tt3634940,6.2,2204.0,JP
Man on High Heels,movie,"Action, Drama",2014.0,tt3837196,6.6,1489.0,JP
"Tora-san, the Intellectual",movie,Comedy,1975.0,tt0073497,6.8,101.0,JP
London Has Fallen,movie,"Action, Thriller",2016.0,tt3300542,5.9,172886.0,JP
Star Blazers 2199: Odyssey of the Celestial Ark,movie,"Action, Animation, Drama",2014.0,tt3222236,7.1,209.0,JP
Miss Hokusai,movie,"Animation, Biography, Drama",2015.0,tt3689910,6.7,3577.0,JP
The Similars,movie,"Horror, Mystery, Sci-Fi",2015.0,tt3949658,5.9,4436.0,JP
Warau Iemon,movie,"Drama, Horror",2004.0,tt0399866,5.4,100.0,JP
American Citizen,movie,"Drama, Sport",1992.0,tt0104219,6.1,80.0,US
Kamen Rider Agito: Project G4,movie,"Action, Adventure, Drama",2001.0,tt1967539,6.2,172.0,JP
Video Games: The Movie,movie,"Documentary, History",2014.0,tt3214002,6.1,5610.0,JP
Roommate,movie,"Drama, Horror, Thriller",2013.0,tt2998364,5.6,463.0,JP
Kamen Rider Movie War the Fateful Sengoku Battle: Kamen Rider vs. Kamen Rider Gaim & Wizard,movie,"Action, Adventure, Fantasy",2013.0,tt3340098,6.9,83.0,JP
A Hard Day,movie,"Action, Crime, Thriller",2014.0,tt3697626,7.2,17204.0,JP
Mourning Recipe,movie,Drama,2013.0,tt2493456,6.4,138.0,JP
2:22,movie,"Drama, Mystery, Romance",2017.0,tt1131724,5.7,26133.0,JP
Obsessed,movie,Drama,2014.0,tt3303730,6.2,2618.0,JP
Berthe Morisot,movie,Biography,2012.0,tt2396722,6.3,176.0,JP
Super Hero Taisen Kamen Rider feat. Super Sentai: Heisei Rider vs. Showa Rider,movie,Action,2014.0,tt3472586,6.2,161.0,JP
Urutoraman Zofuii,movie,Sci-Fi,1984.0,tt0207175,5.7,42.0,JP
Urutoraman sutori,movie,Sci-Fi,1984.0,tt0189169,6.4,80.0,JP
The Last Survivors,movie,"Action, Sci-Fi, Thriller",2014.0,tt2558318,5.3,4000.0,JP
Skiptrace,movie,"Action, Adventure, Comedy",2016.0,tt2238032,5.6,22810.0,JP
Stripper,movie,Documentary,1985.0,tt0090092,5.7,481.0,US
Penguins of Madagascar,movie,"Action, Adventure, Animation",2014.0,tt1911658,6.6,105857.0,US
Dead Angle,movie,"Action, Crime, Drama",1979.0,tt0079262,7.0,55.0,JP
Space Brothers,movie,"Animation, Comedy, Sci-Fi",2014.0,tt3407024,7.5,151.0,JP
K: Missing Kings,movie,"Action, Animation, Fantasy",2014.0,tt3794204,6.8,985.0,US
New Initial D the Movie: Legend 1 - Awakening,movie,"Action, Animation, Sport",2014.0,tt3971764,7.2,448.0,JP
Love & Mercy,movie,"Biography, Drama, Music",2014.0,tt0903657,7.4,43387.0,JP
The Program,movie,"Biography, Drama, Sport",2015.0,tt3083008,6.5,19768.0,JP
An Eye for Beauty,movie,Drama,2014.0,tt2414040,5.5,1597.0,JP
Samurai Sentai Shinkenger Returns: Special Act,movie,Action,2010.0,tt2365867,7.0,32.0,JP
Kamen Rider Gaim: Great Soccer Battle! Golden Fruits Cup!,movie,"Action, Adventure, Fantasy",2014.0,tt3753372,7.6,109.0,JP
Todo Cambia,movie,Documentary,2000.0,tt5514788,4.3,17.0,US
Turtle Beach,movie,"Drama, Thriller",1992.0,tt0103141,4.7,372.0,US
My Man,movie,"Crime, Drama, Romance",2014.0,tt2763746,6.2,729.0,JP
Untama giru,movie,"Comedy, Drama, Fantasy",1989.0,tt0124189,7.2,87.0,JP
Journey Into Solitude,movie,Drama,1972.0,tt0222425,6.7,202.0,JP
Zyuden Sentai Kyoryuger: 100 Years After,movie,Action,2014.0,tt3643996,6.9,43.0,JP
Documentary of AKB48: Show Must Go On,movie,"Documentary, Music",2012.0,tt2136879,8.0,87.0,JP
My House,movie,Drama,2012.0,tt2285597,7.9,19.0,JP
Jinkusu!!!,movie,Romance,2013.0,tt2691040,6.6,155.0,JP
Uchuu Keiji Shaider Next Generation,movie,Sci-Fi,2014.0,tt3744464,7.3,37.0,JP
Uchuu Keiji Sharivan Next Generation,movie,"Action, Sci-Fi",2014.0,tt3744460,7.3,60.0,JP
Sinbad: Make Me Wanna Holla!,movie,"Comedy, Documentary",2014.0,tt3110818,7.2,110.0,US
Monsutâzu,movie,"Drama, Sci-Fi",2014.0,tt3024404,5.5,545.0,JP
Geostorm,movie,"Action, Sci-Fi, Thriller",2017.0,tt1981128,5.3,122923.0,JP
The Lego Ninjago Movie,movie,"Action, Adventure, Animation",2017.0,tt3014284,6.0,31089.0,US
What We Did on Our Holiday,movie,"Comedy, Drama",2014.0,tt2725962,6.9,25179.0,JP
Everly,movie,"Action, Thriller",2014.0,tt1945084,5.1,19695.0,JP
Miracle in Four Days,movie,Romance,2005.0,tt0489590,7.1,34.0,JP
Foodies: The Culinary Jet Set,movie,Documentary,2014.0,tt3400460,6.1,474.0,JP
Final Girl,movie,"Horror, Thriller",2015.0,tt2124787,4.7,17108.0,JP
Sweet Poolside,movie,"Comedy, Drama, Romance",2014.0,tt3158218,5.9,74.0,JP
Say 'I Love You',movie,"Drama, Romance",2014.0,tt3088084,6.2,1338.0,JP
Atashin'chi the Movie,movie,"Adventure, Animation, Comedy",2003.0,tt1298836,6.4,60.0,JP
Girl's Blood,movie,"Action, Drama",2014.0,tt3456784,5.3,412.0,JP
Puzzle,movie,"Horror, Thriller",2014.0,tt3492330,5.5,294.0,JP
Mechanic: Resurrection,movie,"Action, Adventure, Crime",2016.0,tt3522806,5.7,96222.0,JP
Mission Impossible: Samurai,movie,"Action, Comedy, History",2014.0,tt3290714,6.2,293.0,JP
The Extreme Sukiyaki,movie,Comedy,2013.0,tt2641826,6.9,79.0,JP
The Lego Movie 2: The Second Part,movie,"Action, Adventure, Animation",2019.0,tt3513498,6.5,79319.0,US
The Divine Move,movie,"Action, Crime",2014.0,tt3419894,6.6,2649.0,JP
Tora-san's Heart of Gold,movie,Comedy,1976.0,tt0075025,6.8,96.0,JP
"Sayonara, Dobyusshî",movie,"Drama, Music",2013.0,tt2307752,6.1,44.0,JP
Oh! Brothers,movie,"Comedy, Drama, Family",2003.0,tt0376018,5.9,161.0,JP
The Admiral: Roaring Currents,movie,"Action, Drama, History",2014.0,tt3541262,7.1,13449.0,JP
Live,movie,"Action, Comedy, Horror",2014.0,tt3556584,5.1,175.0,JP
Murderer,movie,"Drama, Thriller",2014.0,tt3976234,5.0,328.0,JP
A Class to Remember 2,movie,Drama,1996.0,tt0116386,6.7,133.0,JP
Yakuza Apocalypse,movie,"Action, Comedy, Horror",2015.0,tt3675748,5.5,4609.0,JP
A Little Chaos,movie,"Drama, Romance",2014.0,tt2639254,6.5,25902.0,JP
The Light Between Oceans,movie,"Drama, Romance",2016.0,tt2547584,7.2,61043.0,JP
Sister Game,movie,Comedy,2014.0,tt3708102,5.1,28.0,JP
Fires on the Plain,movie,"Drama, War",2014.0,tt3893038,6.6,892.0,JP
Haganai: I Don't Have Many Friends,movie,"Comedy, Drama",2014.0,tt3084328,5.1,146.0,JP
Dearest,movie,Drama,2014.0,tt3752930,7.6,2684.0,JP
Still Alice,movie,Drama,2014.0,tt3316960,7.5,145522.0,JP
The Golden Era,movie,"Biography, Drama, Romance",2014.0,tt3696086,6.4,1264.0,JP
Who Am I,movie,"Crime, Drama, Mystery",2014.0,tt3042408,7.4,63950.0,JP
Shadow of Deception,movie,"Crime, Drama, Romance",1971.0,tt0203720,6.6,78.0,JP
The Pirates,movie,"Action, Adventure, Comedy",2014.0,tt3485166,6.5,4685.0,JP
Pretty Cure All Stars New Stage 3: Eien no Tomodachi,movie,"Action, Adventure, Animation",2014.0,tt3912856,7.4,8.0,JP
5 Flights Up,movie,"Comedy, Drama",2014.0,tt2933544,6.2,11365.0,JP
Max Steel,movie,"Action, Adventure, Fantasy",2016.0,tt1472584,4.6,20891.0,JP
Tora-san Meets His Lordship,movie,Comedy,1977.0,tt0076510,6.8,116.0,JP
Adventure in Tokyo,movie,Drama,1952.0,tt0322592,7.4,45.0,JP
Hibi Rock: Puke Afro and the Pop Star,movie,"Comedy, Music",2014.0,tt3579168,5.6,71.0,JP
Swung,movie,"Comedy, Drama, Romance",2015.0,tt2243260,4.7,1269.0,JP
Ultraman Cosmos: The First Contact,movie,"Adventure, Family, Fantasy",2001.0,tt0339847,6.2,128.0,JP
Kabukicho Love Hotel,movie,"Drama, Romance",2014.0,tt3876372,6.9,863.0,JP
Saint Seiya: Legend of Sanctuary,movie,"Action, Animation, Fantasy",2014.0,tt2231489,5.4,4756.0,JP
Proof of the Man,movie,"Crime, Drama",1977.0,tt0076460,6.6,455.0,JP
The Light Shines Only There,movie,Drama,2014.0,tt3039932,6.6,683.0,JP
Shazam!,movie,"Action, Adventure, Comedy",2019.0,tt0448115,7.0,393814.0,JP
The Transporter Refueled,movie,"Action, Thriller",2015.0,tt2938956,5.2,45710.0,JP
American Muscle,movie,Action,2014.0,tt2389162,4.2,1064.0,JP
Enoshima Prism,movie,"Comedy, Sci-Fi",2013.0,tt2934686,6.0,208.0,JP
Season of the Sun,movie,Drama,1956.0,tt0270685,6.6,109.0,JP
Jusei: Last Drop of Blood,movie,"Action, Crime, Drama",2003.0,tt1235065,6.1,36.0,JP
Deep Red Love,movie,Thriller,2013.0,tt3215844,6.1,92.0,JP
The Zookeeper's Wife,movie,"Biography, Drama, History",2017.0,tt1730768,7.0,47732.0,JP
Modern Boy,movie,Drama,2008.0,tt1305131,6.0,198.0,JP
The Handmaiden,movie,"Drama, Romance, Thriller",2016.0,tt4016934,8.1,181007.0,JP
Tada's Do-It-All House: Disconcerto,movie,Comedy,2014.0,tt3422606,6.5,263.0,JP
Miracle: Devil Claus' Love and Magic,movie,"Comedy, Drama, Fantasy",2014.0,tt3422622,5.7,112.0,JP
Watashi no Hawaii no arukikata,movie,"Comedy, Romance",2014.0,tt3240086,5.9,48.0,JP
Lingering Spirits,movie,"Comedy, Fantasy",2014.0,tt3398978,6.8,111.0,JP
Oh! Father,movie,"Comedy, Crime, Family",2013.0,tt2957250,5.7,60.0,JP
Ataru: The First Love & the Last Kill,movie,Drama,2013.0,tt2621378,5.6,118.0,JP
ST: Aka to Shiro no Sôsa File the Movie,movie,Thriller,2015.0,tt3952246,6.4,94.0,JP
Tracers,movie,"Action, Crime, Drama",2015.0,tt2401097,5.6,20321.0,JP
Yoga Hosers,movie,"Action, Comedy, Horror",2016.0,tt3838992,4.3,15850.0,JP
The Family Fang,movie,"Comedy, Drama, Mystery",2015.0,tt2097331,6.1,10199.0,JP
Unlocked,movie,"Action, Thriller",2017.0,tt1734493,6.3,39439.0,JP
The Sea of Trees,movie,"Drama, Fantasy, Mystery",2015.0,tt3450900,6.1,18620.0,JP
A Record of Sweet Murder,movie,Horror,2014.0,tt3689908,6.3,597.0,JP
Assassination,movie,"Action, Drama, Thriller",2015.0,tt3501416,7.2,8182.0,JP
Now You See Me 2,movie,"Action, Adventure, Comedy",2016.0,tt3110958,6.4,330293.0,JP
Zeroville,movie,"Comedy, Drama, Mystery",2019.0,tt1881109,4.6,3696.0,US
The Bye Bye Man,movie,"Drama, Fantasy, Horror",2017.0,tt4030600,4.3,26665.0,JP
Detective Story,movie,"Crime, Drama, Mystery",1983.0,tt0217080,6.2,231.0,JP
One Third,movie,"Crime, Drama",2014.0,tt2727322,6.3,241.0,JP
Thomas & Friends: Tale of the Brave,movie,"Adventure, Animation, Comedy",2014.0,tt3282174,6.3,351.0,JP
Kong: Skull Island,movie,"Action, Adventure, Fantasy",2017.0,tt3731562,6.7,357604.0,JP
Inside Men,movie,"Action, Crime, Drama",2015.0,tt3779028,7.0,4294.0,JP
The Disappointments Room,movie,"Drama, Horror, Thriller",2016.0,tt2364897,3.9,10959.0,JP
Samayô kemono,movie,Drama,2013.0,tt2498024,6.7,19.0,JP
Kidnap,movie,"Action, Crime, Thriller",2017.0,tt1458169,5.9,39804.0,JP
Otoko wa tsurai yo: Torajiro gambare!,movie,Comedy,1977.0,tt0076509,6.6,94.0,JP
Maze Runner: The Scorch Trials,movie,"Action, Adventure, Sci-Fi",2015.0,tt4046784,6.3,286142.0,JP
What Is Your Name?,movie,"Drama, Romance",1953.0,tt1954577,6.9,50.0,JP
Tokyo Refugees,movie,Drama,2014.0,tt2638140,6.5,109.0,JP
Pale Moon,movie,Drama,2014.0,tt3560492,6.9,969.0,JP
Misfire,movie,Action,2014.0,tt3207160,3.1,833.0,JP
The Taking of Tiger Mountain,movie,"Action, Adventure, History",2014.0,tt3950078,6.4,3415.0,JP
The Boss Baby,movie,"Adventure, Animation, Comedy",2017.0,tt3874544,6.3,146066.0,JP
Everybody Wants Some!!,movie,Comedy,2016.0,tt2937696,6.9,61598.0,JP
Iris,movie,"Biography, Documentary, History",2014.0,tt4157220,7.1,4656.0,JP
Five Minutes to Tomorrow,movie,"Drama, Romance",2014.0,tt3793116,5.8,162.0,JP
Burnt,movie,"Comedy, Drama",2015.0,tt2503944,6.6,135668.0,JP
Princess Jellyfish,movie,"Comedy, Romance",2014.0,tt3673764,6.2,407.0,JP
The Devil Conspiracy,movie,"Horror, Sci-Fi, Thriller",2022.0,tt9663168,4.5,3861.0,US
Man Down,movie,"Drama, Thriller, War",2015.0,tt2461520,6.0,11340.0,JP
Deepwater Horizon,movie,"Action, Drama, History",2016.0,tt1860357,7.1,187451.0,JP
Whistle Blower,movie,"Crime, Drama, Mystery",2014.0,tt4034414,6.9,653.0,JP
Toriko the Movie: Secret Recipe of Gourmet God!,movie,Animation,2013.0,tt3852404,7.1,66.0,JP
The Furthest End Awaits,movie,Drama,2014.0,tt3524792,7.0,304.0,JP
Ada: Part 2,movie,Horror,2013.0,tt3018064,6.6,29.0,JP
Psycho-Pass: The Movie,movie,"Action, Animation, Crime",2015.0,tt4219130,7.1,4670.0,JP
Gurov and Anna,movie,"Drama, Romance",2014.0,tt3700852,5.6,283.0,JP
Fatal Frame,movie,Horror,2014.0,tt3684484,5.7,668.0,JP
The Idolmaster Movie: Beyond the Brilliant Future!,movie,Comedy,2014.0,tt3306854,6.9,130.0,JP
Blue Demon,movie,"Horror, Sci-Fi",2014.0,tt3686278,3.9,227.0,JP
Fashion King,movie,"Drama, Romance",2014.0,tt3485192,5.3,386.0,JP
"My Love, My Bride",movie,"Comedy, Romance",2014.0,tt4038966,6.4,844.0,JP
One Shot,movie,"Action, Sci-Fi",2014.0,tt3343350,3.6,668.0,JP
Gutshot Straight,movie,"Action, Crime, Thriller",2014.0,tt2252552,3.6,1907.0,JP
Gangnam 1970,movie,"Action, Crime, Drama",2015.0,tt3698118,6.2,2174.0,JP
L.DK,movie,"Comedy, Drama, Romance",2014.0,tt2907640,6.1,1729.0,JP
Suicide Squad,movie,"Action, Adventure, Fantasy",2016.0,tt1386697,5.9,733289.0,JP
Wonder Woman,movie,"Action, Adventure, Fantasy",2017.0,tt0451279,7.3,710370.0,JP
Aquaman,movie,"Action, Adventure, Fantasy",2018.0,tt1477834,6.8,531069.0,JP
Silver Spoon,movie,"Comedy, Drama, Romance",2014.0,tt3110014,6.6,389.0,JP
Kita no hotaru,movie,Drama,1984.0,tt0459867,6.8,130.0,JP
Capone Cries a Lot,movie,"Action, Comedy",1985.0,tt0089404,6.2,118.0,JP
All Roads Lead to Rome,movie,"Comedy, Drama, Romance",2015.0,tt4119278,4.9,6814.0,JP
"When It Rains, It Pours",movie,"Drama, Romance",1957.0,tt3523120,7.8,35.0,JP
In the Hero,movie,Comedy,2014.0,tt3472210,6.6,92.0,JP
The Island Closest to Heaven,movie,Drama,1984.0,tt0125549,6.1,193.0,JP
August Without Emperor,movie,"Drama, Thriller",1978.0,tt0328049,6.7,81.0,JP
Port of Flowers,movie,"Comedy, Drama",1943.0,tt0035964,6.5,183.0,JP
The Smoke,movie,"Crime, Romance, Thriller",2014.0,tt2386353,4.2,381.0,JP
Zhongkui: Snow Girl and the Dark Crystal,movie,"Action, Fantasy, Romance",2015.0,tt3585004,5.3,1442.0,JP
Mojin: The Lost Legend,movie,"Action, Adventure, Drama",2015.0,tt4276752,5.9,4466.0,JP
Dragon Blade,movie,"Action, Drama, Fantasy",2015.0,tt3672840,5.9,21637.0,JP
Comedy Central Roast of James Franco,movie,Comedy,2013.0,tt3098812,7.7,4537.0,US
Kyoto Elegy,movie,Comedy,2014.0,tt3227352,6.7,25.0,JP
Leatherface,movie,"Crime, Horror, Thriller",2017.0,tt2620590,5.0,29051.0,JP
3 Generations,movie,Drama,2015.0,tt4158624,6.0,7107.0,JP
Racing Extinction,movie,"Adventure, Documentary, News",2015.0,tt1618448,8.2,8281.0,US
Hot Road,movie,"Drama, Romance",2014.0,tt3267258,5.6,287.0,JP
Miss Granny,movie,"Comedy, Fantasy, Music",2015.0,tt4344878,6.5,1348.0,JP
We Are Your Friends,movie,"Drama, Music, Romance",2015.0,tt3787590,6.2,41168.0,JP
The Trust,movie,"Action, Crime, Mystery",2016.0,tt3733774,5.5,21268.0,JP
Equals,movie,"Drama, Romance, Sci-Fi",2015.0,tt3289728,6.0,33270.0,JP
The Hunter's Prayer,movie,"Action, Thriller",2017.0,tt2674358,5.6,10588.0,JP
Iron Sky: The Coming Race,movie,"Action, Adventure, Comedy",2019.0,tt3038708,5.0,12049.0,JP
Snowden,movie,"Biography, Crime, Drama",2016.0,tt3774114,7.3,166013.0,JP
10.0 Earthquake,movie,"Action, Adventure, Drama",2014.0,tt3488056,3.5,2788.0,US
Village of Doom,movie,"Crime, Drama",1983.0,tt0229820,6.6,213.0,JP
My Pretend Girlfriend,movie,"Drama, Romance",2014.0,tt2928288,6.4,386.0,JP
Dragon Ball Z: Resurrection 'F',movie,"Action, Adventure, Animation",2015.0,tt3819668,7.1,24460.0,JP
My Dictator,movie,Drama,2014.0,tt4200904,6.1,158.0,JP
The Bélier Family,movie,"Comedy, Drama, Music",2014.0,tt3547740,7.3,30266.0,JP
Die Dinge zwischen uns,movie,Drama,2008.0,tt1178122,6.2,90.0,JP
Usotsuki paradokusu,movie,Romance,2013.0,tt2984080,5.2,73.0,JP
A Good Husband,movie,Drama,2009.0,tt1343043,7.5,91.0,JP
Recipes of Diet Diaries,movie,"Comedy, Drama",2013.0,tt2482480,5.7,33.0,JP
A Kind of Murder,movie,"Crime, Drama, Mystery",2016.0,tt2726552,5.3,8780.0,US
Free and Easy: Samurai Edition,movie,"Comedy, Drama",1998.0,tt0373884,6.7,20.0,JP
Out of This World,movie,"Drama, Music",2004.0,tt0371050,6.9,98.0,JP
Southpaw,movie,"Action, Drama, Sport",2015.0,tt1798684,7.3,264136.0,US
Vice,movie,"Action, Sci-Fi, Thriller",2015.0,tt3480796,4.2,17219.0,JP
Tangerine,movie,"Comedy, Crime, Drama",2015.0,tt3824458,7.1,37554.0,US
"Stockholm, Pennsylvania",movie,"Drama, Thriller",2015.0,tt2481512,6.0,2668.0,JP
Late Spring,movie,"Drama, Romance",2014.0,tt3243630,6.5,143.0,JP
Kickboxer: Vengeance,movie,"Action, Crime, Drama",2016.0,tt3082898,4.9,12373.0,JP
An En Vogue Christmas,movie,Drama,2014.0,tt3922320,5.7,240.0,US
Midnight Diner,movie,"Comedy, Drama",2014.0,tt3958276,7.5,2584.0,JP
Blood Father,movie,"Action, Crime, Drama",2016.0,tt3647498,6.4,68404.0,JP
Last Days in the Desert,movie,"Drama, Fantasy, History",2015.0,tt3513054,5.6,4526.0,JP
Cop Car,movie,"Crime, Thriller",2015.0,tt3813310,6.3,35728.0,JP
Turbo Kid,movie,"Action, Adventure, Comedy",2015.0,tt3672742,6.7,30182.0,JP
Drive in Gamo,movie,Drama,2014.0,tt3924840,5.0,14.0,JP
Typhoon Over Nagasaki,movie,Drama,1956.0,tt0051121,5.8,135.0,JP
The Murder Case of Hana & Alice,movie,"Animation, Comedy, Crime",2015.0,tt4125300,7.1,2423.0,JP
Beyond the Boundary Movie: I'll Be Here - Kako-hen,movie,"Action, Animation, Comedy",2015.0,tt4531412,6.6,671.0,JP
Kinnikuman: Ubawareta champion belt,movie,Animation,1984.0,tt0389077,6.1,21.0,JP
Another Battle,movie,"Action, Crime, Drama",2000.0,tt0269859,6.7,73.0,JP
The Voice of Water,movie,Drama,2014.0,tt4296022,5.4,44.0,JP
Ode to My Father,movie,"Drama, War",2014.0,tt3812366,7.8,6379.0,JP
Grasshopper,movie,"Action, Crime, Drama",2015.0,tt3846972,5.5,382.0,JP
Ressha Sentai ToQger vs. Kyoryuger: The Movie,movie,Action,2015.0,tt4152148,6.7,51.0,JP
Love Forecast,movie,"Comedy, Drama, Romance",2015.0,tt4315956,6.1,1609.0,JP
The Flame of Devotion,movie,"Drama, Romance",1964.0,tt2645472,7.3,83.0,JP
Documentary of AKB48: The Time Has Come,movie,"Documentary, Music",2014.0,tt3841490,7.4,54.0,JP
The Royal Tailor,movie,Drama,2014.0,tt4024104,7.0,1276.0,JP
Spotlight,movie,"Biography, Crime, Drama",2015.0,tt1895587,8.1,510906.0,JP
Toto and His Sisters,movie,"Documentary, Drama, Family",2014.0,tt2234537,8.0,646.0,JP
Go See the Fall,movie,"Comedy, Drama",2014.0,tt3172112,6.5,186.0,JP
100 Yen Love,movie,"Comedy, Drama",2014.0,tt4080598,7.1,2867.0,JP
Piece of Cake,movie,"Drama, Romance",2015.0,tt4061360,6.0,180.0,JP
The Emperor in August,movie,"Drama, History",2015.0,tt4289340,6.6,741.0,JP
Akumu Chan the Movie,movie,Mystery,2014.0,tt3062042,4.7,90.0,JP
"One Step on a Mine, It's All Over",movie,"Drama, War",1999.0,tt0228460,6.4,127.0,JP
Backstreet Boys: Show 'Em What You're Made Of,movie,Documentary,2015.0,tt2712154,7.5,1640.0,JP
Good Manners,movie,"Fantasy, Horror",2017.0,tt5480782,6.7,4359.0,JP
